food_log_id,food_id,user_id,servings,datetime
44,22,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.20,2026-08-10 20:32:00+00
45,15,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.20,2026-08-10 20:33:00+00
46,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.87,2026-08-10 20:44:00+00
49,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 20:48:00+00
50,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 20:48:00+00
51,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 20:49:00+00
52,24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.50,2026-08-10 23:04:00+00
53,24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 23:04:00+00
54,25,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-11 02:33:00+00
55,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 08:30:00+00
56,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 15:15:00+00
57,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 15:16:00+00
58,27,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 15:19:00+00
59,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 18:35:00+00
60,13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 18:42:00+00
61,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 18:47:00+00
62,15,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 21:01:00+00
63,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09 23:53:00+00
64,29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 15:32:00+00
65,28,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.87,2026-08-11 20:10:00+00
66,11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 20:11:00+00
67,25,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.07,2026-08-12 00:14:00+00
68,20,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 00:15:00+00
69,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 00:20:00+00
70,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 00:09:00+00
71,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-11 08:47:00+00
72,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 16:00:00+00
73,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 17:39:00+00
74,29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 17:39:00+00
75,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 17:40:00+00
76,32,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 18:27:00+00
77,33,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 18:28:00+00
78,27,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 18:28:00+00
79,11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 23:51:00+00
80,25,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 23:51:00+00
81,20,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-12 23:51:00+00
82,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 00:13:00+00
83,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 05:04:00+00
84,20,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-13 05:06:00+00
86,11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 05:14:00+00
87,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 14:58:00+00
88,29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 14:58:00+00
89,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-13 14:59:00+00
90,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13 14:59:00+00
91,34,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.25,2026-08-14 00:03:00+00
92,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 00:14:00+00
93,37,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 00:26:00+00
94,37,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 00:27:00+00
95,19,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 04:36:00+00
96,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 04:37:00+00
97,20,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 04:39:00+00
98,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 04:39:00+00
99,21,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 06:20:00+00
100,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 07:01:00+00
101,19,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-10 16:19:00+00
102,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 16:28:00+00
103,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 16:33:00+00
104,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 18:17:00+00
105,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 18:17:00+00
106,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 00:37:00+00
107,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10 18:40:00+00
108,19,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 04:37:00+00
109,37,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 04:38:00+00
110,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 15:55:00+00
111,39,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 16:31:00+00
112,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.33,2026-08-14 16:31:00+00
113,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 16:43:00+00
114,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 21:36:00+00
115,39,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 21:37:00+00
116,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 21:39:00+00
117,40,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.33,2026-08-14 21:44:00+00
118,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 22:19:00+00
119,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14 22:20:00+00
120,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.50,2026-08-15 03:03:00+00
121,41,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 05:07:00+00
122,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-15 06:48:00+00
123,42,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,5.00,2026-08-15 06:59:00+00
124,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 15:52:00+00
125,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 15:58:00+00
126,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 15:59:00+00
127,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 15:59:00+00
128,39,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-15 16:56:00+00
129,43,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.20,2026-08-15 20:19:00+00
130,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 20:26:00+00
131,42,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,5.00,2026-08-15 20:28:00+00
132,28,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 23:05:00+00
133,28,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 23:52:00+00
134,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.33,2026-08-15 23:54:00+00
135,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15 23:55:00+00
138,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-16 16:32:00+00
142,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-16 19:09:00+00
143,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-16 19:10:00+00
144,13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-16 19:10:00+00
145,21,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-16 20:50:00+00
148,24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.50,2026-08-16 22:58:00+00
149,46,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,3.33,2026-08-17 02:52:00+00
150,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 03:01:00+00
151,47,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 03:23:00+00
152,13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 03:23:00+00
154,35,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.25,2026-08-17 04:19:00+00
155,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-17 17:12:00+00
156,39,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.25,2026-08-17 17:12:00+00
157,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 17:42:00+00
158,21,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-17 17:42:00+00
159,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 17:43:00+00
160,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.75,2026-08-17 17:43:00+00
161,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.75,2026-08-17 20:28:00+00
162,48,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.60,2026-08-17 20:30:00+00
163,37,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-17 22:21:00+00
165,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.33,2026-08-17 22:23:00+00
166,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17 22:23:00+00
167,48,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.80,2026-08-17 23:43:00+00
168,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18 15:23:00+00
170,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18 15:27:00+00
171,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18 15:27:00+00
172,18,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.33,2026-08-18 15:27:00+00
173,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18 15:27:00+00
174,24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.50,2026-08-18 15:28:00+00
176,29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18 16:21:00+00
178,19,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-19 02:21:00+00
179,49,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-19 03:22:00+00
180,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 15:00:00+00
181,26,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2.00,2026-08-19 15:01:00+00
182,27,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 17:50:00+00
183,32,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 17:51:00+00
184,33,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 17:51:00+00
185,32,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 18:07:00+00
186,50,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-19 19:38:00+00
187,23,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 19:38:00+00
188,29,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-19 19:44:00+00
189,24,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.75,2026-08-19 23:45:00+00
190,9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 02:57:00+00
191,30,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.50,2026-08-20 02:57:00+00
193,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 16:56:00+00
194,10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 16:56:00+00
195,12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 16:56:00+00
196,21,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,0.75,2026-08-20 16:56:00+00
197,13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 16:57:00+00
198,51,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,3.00,2026-08-20 19:14:00+00
199,14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 19:15:00+00
200,16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-20 19:15:00+00
