supplement_log_id,supplement_id,user_id,servings,date
5,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-09
6,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09
7,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10
8,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10
9,7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10
10,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-10
11,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-09
12,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-11
13,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-12
14,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-13
15,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-13
16,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-14
17,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14
18,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14
19,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14
21,2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15
22,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15
23,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-14
24,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-15
25,5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-15
29,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-16
30,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-16
31,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-17
32,8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-17
33,1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,8.00,2026-08-18
34,6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,1.00,2026-08-18
